job_id	model_key	classifier	condition	label	precision	recall	f1	support	log
542370	roberta-large	prototype	D3 (debias_vl->CBDC)	positive	0.3806	0.0852	0.1393	1103	candidate/logs/slurm_new_542370.log
542405	bert-large-cased	prototype	B1 (raw)	negative	0.4853	0.1648	0.2461	1001	candidate/logs/slurm_new_542405.log
542405	bert-large-cased	prototype	B1 (raw)	neutral	0.3786	0.0545	0.0954	1430	candidate/logs/slurm_new_542405.log
542405	bert-large-cased	prototype	B1 (raw)	positive	0.3373	0.9139	0.4928	1103	candidate/logs/slurm_new_542405.log
542405	bert-large-cased	prototype	D1 (debias_vl)	negative	0.4972	0.3566	0.4154	1001	candidate/logs/slurm_new_542405.log
542405	bert-large-cased	prototype	D1 (debias_vl)	neutral	0.4446	0.1853	0.2616	1430	candidate/logs/slurm_new_542405.log
542405	bert-large-cased	prototype	D1 (debias_vl)	positive	0.4099	0.825	0.5477	1103	candidate/logs/slurm_new_542405.log
542405	bert-large-cased	prototype	D2 (CBDC)	negative	0.4915	0.1728	0.2557	1001	candidate/logs/slurm_new_542405.log
542405	bert-large-cased	prototype	D2 (CBDC)	neutral	0.3785	0.0566	0.0985	1430	candidate/logs/slurm_new_542405.log
542405	bert-large-cased	prototype	D2 (CBDC)	positive	0.3383	0.9102	0.4932	1103	candidate/logs/slurm_new_542405.log
542405	bert-large-cased	prototype	D2.5 (CBDC no-label-select)	negative	0.5133	0.2897	0.3704	1001	candidate/logs/slurm_new_542405.log
542405	bert-large-cased	prototype	D2.5 (CBDC no-label-select)	neutral	0.3718	0.0203	0.0385	1430	candidate/logs/slurm_new_542405.log
542405	bert-large-cased	prototype	D2.5 (CBDC no-label-select)	positive	0.3577	0.9374	0.5178	1103	candidate/logs/slurm_new_542405.log
542405	bert-large-cased	prototype	D3 (debias_vl->CBDC)	negative	0.5156	0.2637	0.349	1001	candidate/logs/slurm_new_542405.log
542405	bert-large-cased	prototype	D3 (debias_vl->CBDC)	neutral	0.4015	0.0727	0.1231	1430	candidate/logs/slurm_new_542405.log
542405	bert-large-cased	prototype	D3 (debias_vl->CBDC)	positive	0.3616	0.9057	0.5168	1103	candidate/logs/slurm_new_542405.log
542427	qwen25-3b	prototype	B1 (raw)	negative	0.0	0.0	0.0	1001	candidate/logs/slurm_new_542427.log
542427	qwen25-3b	prototype	B1 (raw)	neutral	0.4062	0.9832	0.5749	1430	candidate/logs/slurm_new_542427.log
542427	qwen25-3b	prototype	B1 (raw)	positive	0.3472	0.0227	0.0426	1103	candidate/logs/slurm_new_542427.log
542427	qwen25-3b	prototype	D1 (debias_vl)	negative	0.3613	0.2068	0.263	1001	candidate/logs/slurm_new_542427.log
542427	qwen25-3b	prototype	D1 (debias_vl)	neutral	0.4041	0.8042	0.5379	1430	candidate/logs/slurm_new_542427.log
542427	qwen25-3b	prototype	D1 (debias_vl)	positive	0.3478	0.0363	0.0657	1103	candidate/logs/slurm_new_542427.log
542427	qwen25-3b	prototype	D2 (CBDC)	negative	0.0	0.0	0.0	1001	candidate/logs/slurm_new_542427.log
542427	qwen25-3b	prototype	D2 (CBDC)	neutral	0.4052	0.9629	0.5704	1430	candidate/logs/slurm_new_542427.log
542427	qwen25-3b	prototype	D2 (CBDC)	positive	0.3971	0.049	0.0872	1103	candidate/logs/slurm_new_542427.log
542427	qwen25-3b	prototype	D2.5 (CBDC no-label-select)	negative	0.0	0.0	0.0	1001	candidate/logs/slurm_new_542427.log
542427	qwen25-3b	prototype	D2.5 (CBDC no-label-select)	neutral	0.4037	0.9566	0.5678	1430	candidate/logs/slurm_new_542427.log
542427	qwen25-3b	prototype	D2.5 (CBDC no-label-select)	positive	0.3793	0.0499	0.0881	1103	candidate/logs/slurm_new_542427.log
